Date,AAPL,AMZN,JPM,MSFT,SPY,XOM
2019-07-31,51.0543098449707,93.33899688720703,97.52839660644531,128.51910400390625,270.771484375,54.92686462402344
2019-08-01,49.94954299926758,92.76599884033203,94.95567321777344,130.20729064941406,268.4136962890625,53.523406982421875
2019-08-02,48.8927116394043,91.16200256347656,94.94723510742188,129.11325073242188,266.3927307128906,52.99897003173828
2019-08-05,46.333282470703125,88.25650024414062,92.12228393554688,124.69001770019531,258.3815002441406,51.91312026977539
2019-08-06,47.21038055419922,89.3915023803711,92.8453369140625,127.02896881103516,262.004638671875,52.41541290283203
2019-08-07,47.69926071166992,89.66999816894531,90.82752990722656,127.5854263305664,262.15936279296875,52.07563400268555
2019-08-08,48.751312255859375,91.64450073242188,92.36610412597656,130.99008178710938,267.302978515625,53.46432113647461
2019-08-09,48.34957504272461,90.37899780273438,92.26520538330078,129.87718200683594,265.4822692871094,52.3267822265625
2019-08-12,48.226890563964844,89.24600219726562,90.53325653076172,128.06642150878906,262.25048828125,52.07250213623047
2019-08-13,50.26923370361328,91.21700286865234,91.92890167236328,130.716552734375,266.3288879394531,52.71564865112305
2019-08-14,48.77296829223633,88.14800262451172,88.11186981201172,126.78010559082031,258.45416259765625,50.59177017211914
2019-08-15,48.53000259399414,88.80599975585938,88.44815063476562,126.49626159667969,259.13702392578125,50.29262924194336
2019-08-16,49.675048828125,89.62850189208984,90.5668716430664,128.81459045410156,262.9605712890625,51.0778694152832
2019-08-19,50.6011962890625,90.80599975585938,91.38243103027344,130.97206115722656,266.12860107421875,51.93790054321289
2019-08-20,50.603607177734375,90.06900024414062,90.22215270996094,129.88385009765625,264.08935546875,51.6237907409668
2019-08-21,51.152069091796875,91.177001953125,90.47440338134766,131.33160400390625,266.23779296875,52.13982009887695
2019-08-22,51.10877227783203,90.23300170898438,91.40763092041016,130.37591552734375,266.1559143066406,52.02763748168945
2019-08-23,48.74649429321289,87.48100280761719,89.13758087158203,126.22178649902344,259.3190612792969,50.47211837768555
2019-08-26,49.67264175415039,88.44349670410156,89.85224914550781,128.17112731933594,262.1867370605469,50.741336822509766
